username,nom,prenom,email,telephone,dateCreation,password,administrateur,actif,campus
Montes Nascetur Ridiculus Ltd,Griffin,Farrell,adipiscing.Mauris.molestie@turpisnon.edu,09 53 17 58 58,2019-07-27 03:23:07,"adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras",False,True,"Niort, Paris3, Poitiers"
Vulputate Limited,Jermaine,Sims,ultricies.ornare@pede.co.uk,07 93 54 11 68,2020-05-01 05:26:16,turpis vitae purus gravida sagittis. Duis,False,True,"Niort, Paris3, Poitiers"
Nam Interdum Enim LLC,Grant,Morse,Suspendisse@nonummy.co.uk,07 43 22 99 60,2020-08-23 09:26:32,Vestibulum ut eros non enim commodo hendrerit.,True,True,"Niort, Paris3, Poitiers"
Eu Tempor Company,Hiram,Kirk,consequat@lacuspede.edu,07 27 00 61 48,2019-07-25 20:31:13,"Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",False,True,"Poitiers, Paris3, Niort"
Morbi Quis LLC,Francis,Tran,lectus.sit.amet@lectusantedictum.co.uk,09 01 60 29 93,2020-07-31 19:02:33,non dui nec urna suscipit nonummy.,False,True,"Niort, Poitiers, Paris3"
Dui Incorporated,Fritz,Kent,consectetuer.euismod.est@vitaesodalesnisi.edu,03 65 60 22 57,2019-09-24 17:41:23,molestie dapibus ligula. Aliquam erat volutpat.,True,True,"Niort, Paris3, Poitiers"
Metus Consulting,Walter,Simon,vitae.erat@Phasellusataugue.ca,04 86 59 23 98,2020-08-11 03:14:24,leo. Cras vehicula aliquet libero. Integer in magna.,False,True,"Niort, Paris3, Poitiers"
Malesuada Company,Warren,Green,a@parturient.com,03 50 14 31 21,2019-11-26 04:52:45,"nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus,",False,True,"Niort, Paris3, Poitiers"
Aenean Eget Institute,Salvador,Sharpe,et.netus.et@natoquepenatibus.ca,03 56 35 18 05,2020-08-04 01:36:37,"vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin",True,True,"Poitiers, Niort, Paris3"
Rutrum Foundation,Tanek,Cross,Quisque.varius@lobortisquis.com,04 41 95 78 71,2019-12-17 09:04:19,"mauris sapien, cursus in, hendrerit",False,True,"Niort, Poitiers, Paris3"
Nulla Donec Limited,Perry,Wagner,ut.dolor@ultrices.edu,06 88 71 35 14,2019-10-31 04:46:59,ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu,False,True,"Paris3, Niort, Poitiers"
Elementum Sem Institute,Vincent,Mccarty,Proin.non@volutpat.ca,07 44 43 89 83,2019-07-23 03:51:09,"non, luctus sit amet, faucibus ut,",True,True,"Poitiers, Niort, Paris3"
Integer LLP,Patrick,Simon,sapien.cursus.in@pede.com,06 61 53 44 19,2020-04-01 06:36:28,non arcu. Vivamus sit amet risus. Donec,True,True,"Poitiers, Niort, Paris3"
Convallis Corp.,Alan,Miller,quis@rhoncusid.ca,06 37 49 74 75,2021-03-20 23:22:53,volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh.,True,True,"Poitiers, Paris3, Niort"
Semper Inc.,Beck,Gates,aliquet.odio@Nunc.edu,07 31 20 76 85,2020-09-28 00:43:31,Duis sit amet diam eu dolor egestas rhoncus.,True,True,"Poitiers, Paris3, Niort"
Massa Foundation,Russell,Hamilton,tristique.pellentesque.tellus@eleifend.com,01 83 82 24 25,2019-06-16 03:14:37,"leo. Morbi neque tellus, imperdiet",False,True,"Poitiers, Paris3, Niort"
Cursus Associates,Zeus,Frederick,Sed.eu.nibh@enim.org,05 64 99 45 22,2020-07-24 20:48:28,Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit,True,True,"Poitiers, Niort, Paris3"
